rank,mode,lower_value,upper_value,value,bfi,output_q16,normalized_output,delta_q16_from_prev
28764,blend8,114,193,193,3,38127,0.5817807278553445,1
28765,blend8,119,163,163,2,38128,0.5817959868772412,1
28766,blend8,31,175,175,1,38129,0.5818112458991379,1
28767,blend8,127,150,150,1,38130,0.5818265049210346,1
28768,blend8,30,176,176,1,38131,0.5818417639429313,1
28769,blend8,106,172,172,2,38132,0.581857022964828,1
28770,blend8,141,147,147,1,38134,0.5818875410086214,2
28771,blend8,140,149,149,2,38135,0.5819028000305181,1
28772,blend8,82,162,162,1,38136,0.5819180590524148,1
28773,blend8,26,177,177,1,38137,0.5819333180743115,1
28774,blend8,4,245,245,2,38138,0.5819485770962082,1
28775,blend8,48,213,213,2,38139,0.5819638361181049,1
28776,blend8,105,156,156,1,38140,0.5819790951400016,1
28777,blend8,46,215,215,2,38141,0.5819943541618983,1
28778,blend8,29,227,227,2,38142,0.582009613183795,1
28779,blend8,118,187,187,3,38143,0.5820248722056917,1
28780,blend8,77,163,163,1,38144,0.5820401312275884,1
28781,blend8,125,230,230,4,38145,0.582055390249485,1
28782,blend8,45,172,172,1,38146,0.5820706492713817,1
28783,blend8,126,225,225,4,38147,0.5820859082932784,1
28784,blend8,68,199,199,2,38148,0.5821011673151751,1
28785,blend8,108,202,202,3,38149,0.5821164263370718,1
28786,blend8,49,171,171,1,38150,0.5821316853589685,1
28787,blend8,61,168,168,1,38151,0.5821469443808652,1
28788,blend8,63,167,167,1,38153,0.5821774624246586,2
28789,blend8,41,173,173,1,38154,0.5821927214465553,1
28790,blend8,86,186,186,2,38155,0.582207980468452,1
28791,blend8,75,194,194,2,38156,0.5822232394903487,1
28792,blend8,34,175,175,1,38157,0.5822384985122454,1
28793,blend8,33,224,224,2,38158,0.5822537575341421,1
28794,blend8,13,180,180,1,38159,0.5822690165560388,1
28795,blend8,74,164,164,1,38160,0.5822842755779355,1
28796,blend8,5,183,183,1,38161,0.5822995345998322,1
28797,blend8,32,175,175,1,38162,0.5823147936217289,1
28798,blend8,96,222,222,3,38163,0.5823300526436256,1
28799,blend8,44,172,172,1,38164,0.5823453116655223,1
28800,blend8,80,163,163,1,38166,0.5823758297093157,2
28801,blend8,78,192,192,2,38167,0.5823910887312124,1
28802,blend8,81,163,163,1,38168,0.5824063477531091,1
28803,blend8,109,201,201,3,38169,0.5824216067750058,1
28804,blend8,65,201,201,2,38170,0.5824368657969025,1
28805,blend8,85,187,187,2,38171,0.5824521248187992,1
28806,blend8,10,181,181,1,38172,0.5824673838406959,1
28807,blend8,81,247,247,3,38173,0.5824826428625925,1
28808,blend8,109,170,170,2,38174,0.5824979018844892,1
28809,blend8,120,153,153,1,38175,0.5825131609063859,1
28810,blend8,57,207,207,2,38176,0.5825284199282826,1
28811,blend8,1,185,185,1,38177,0.5825436789501793,1
28812,blend8,140,147,147,1,38178,0.582558937972076,1
28813,blend8,33,175,175,1,38179,0.5825741969939727,1
28814,blend8,43,217,217,2,38181,0.5826047150377661,2
28815,blend8,99,158,158,1,38183,0.5826352330815595,2
28816,blend8,80,190,190,2,38184,0.5826504921034562,1
28817,blend8,128,150,150,1,38185,0.5826657511253529,1
28818,blend8,85,162,162,1,38186,0.5826810101472496,1
28819,blend8,90,232,232,3,38187,0.5826962691691463,1
28820,blend8,54,169,169,1,38188,0.582711528191043,1
28821,blend8,91,183,183,2,38189,0.5827267872129397,1
28822,blend8,0,186,186,1,38190,0.5827420462348364,1
28823,blend8,97,159,159,1,38191,0.5827573052567331,1
28824,blend8,3,247,247,2,38192,0.5827725642786298,1
28825,blend8,132,149,149,1,38193,0.5827878233005265,1
28826,blend8,38,174,174,1,38194,0.5828030823224232,1
28827,blend8,130,156,156,2,38195,0.5828183413443199,1
28828,blend8,90,160,160,1,38197,0.5828488593881133,2
28829,blend8,87,237,237,3,38198,0.58286411841001,1
28830,blend8,2,184,184,1,38199,0.5828793774319067,1
28831,blend8,141,149,149,2,38200,0.5828946364538033,1
28832,blend8,91,160,160,1,38201,0.5829098954757,1
28833,blend8,114,167,167,2,38202,0.5829251544975967,1
28834,blend8,89,160,160,1,38203,0.5829404135194934,1
28835,blend8,7,182,182,1,38204,0.5829556725413901,1
28836,blend8,24,231,231,2,38205,0.5829709315632868,1
28837,blend8,125,151,151,1,38206,0.5829861905851835,1
28838,blend8,67,200,200,2,38209,0.5830319676508736,3
28839,blend8,119,153,153,1,38210,0.5830472266727703,1
28840,blend8,53,170,170,1,38211,0.583062485694667,1
28841,blend8,22,178,178,1,38212,0.5830777447165637,1
28842,blend8,139,156,156,3,38213,0.5830930037384604,1
28843,blend8,78,163,163,1,38214,0.5831082627603571,1
28844,blend8,17,236,236,2,38215,0.5831235217822538,1
28845,blend8,50,171,171,1,38216,0.5831387808041505,1
28846,blend8,14,180,180,1,38217,0.5831540398260472,1
28847,blend8,21,232,232,2,38218,0.5831692988479439,1
28848,blend8,19,235,235,2,38219,0.5831845578698406,1
28849,blend8,73,165,165,1,38220,0.5831998168917373,1
28850,blend8,42,218,218,2,38221,0.583215075913634,1
28851,blend8,9,182,182,1,38222,0.5832303349355307,1
28852,blend8,112,155,155,1,38223,0.5832455939574274,1
28853,blend8,107,156,156,1,38224,0.5832608529793241,1
28854,blend8,39,174,174,1,38225,0.5832761120012208,1
28855,blend8,35,175,175,1,38226,0.5832913710231175,1
28856,blend8,106,156,156,1,38227,0.5833066300450142,1
28857,blend8,73,196,196,2,38228,0.5833218890669108,1
28858,blend8,19,179,179,1,38229,0.5833371480888075,1
28859,blend8,42,173,173,1,38230,0.5833524071107042,1
28860,blend8,137,149,149,1,38231,0.5833676661326009,1
28861,blend8,31,176,176,1,38232,0.5833829251544976,1
28862,blend8,93,160,160,1,38233,0.5833981841763943,1
28863,blend8,129,150,150,1,38234,0.583413443198291,1
