name,mode,use_fill16,r16,g16,b16,w16,repeats
gray_q16_28499,fill16,1,28499,28499,28499,0,1
gray_q16_28630,fill16,1,28630,28630,28630,0,1
gray_q16_28761,fill16,1,28761,28761,28761,0,1
gray_q16_28893,fill16,1,28893,28893,28893,0,1
gray_q16_29024,fill16,1,29024,29024,29024,0,1
gray_q16_29155,fill16,1,29155,29155,29155,0,1
gray_q16_29287,fill16,1,29287,29287,29287,0,1
gray_q16_29418,fill16,1,29418,29418,29418,0,1
gray_q16_29549,fill16,1,29549,29549,29549,0,1
gray_q16_29681,fill16,1,29681,29681,29681,0,1
gray_q16_29812,fill16,1,29812,29812,29812,0,1
gray_q16_29943,fill16,1,29943,29943,29943,0,1
gray_q16_30075,fill16,1,30075,30075,30075,0,1
gray_q16_30206,fill16,1,30206,30206,30206,0,1
gray_q16_30337,fill16,1,30337,30337,30337,0,1
gray_q16_30469,fill16,1,30469,30469,30469,0,1
gray_q16_30600,fill16,1,30600,30600,30600,0,1
gray_q16_30731,fill16,1,30731,30731,30731,0,1
gray_q16_30863,fill16,1,30863,30863,30863,0,1
gray_q16_30994,fill16,1,30994,30994,30994,0,1
gray_q16_31125,fill16,1,31125,31125,31125,0,1
gray_q16_31257,fill16,1,31257,31257,31257,0,1
gray_q16_31388,fill16,1,31388,31388,31388,0,1
gray_q16_31519,fill16,1,31519,31519,31519,0,1
gray_q16_31651,fill16,1,31651,31651,31651,0,1
gray_q16_31782,fill16,1,31782,31782,31782,0,1
gray_q16_31913,fill16,1,31913,31913,31913,0,1
gray_q16_32045,fill16,1,32045,32045,32045,0,1
gray_q16_32176,fill16,1,32176,32176,32176,0,1
gray_q16_32307,fill16,1,32307,32307,32307,0,1
gray_q16_32439,fill16,1,32439,32439,32439,0,1
gray_q16_32570,fill16,1,32570,32570,32570,0,1
gray_q16_32701,fill16,1,32701,32701,32701,0,1
gray_q16_32833,fill16,1,32833,32833,32833,0,1
gray_q16_32964,fill16,1,32964,32964,32964,0,1
gray_q16_33095,fill16,1,33095,33095,33095,0,1
gray_q16_33227,fill16,1,33227,33227,33227,0,1
gray_q16_33358,fill16,1,33358,33358,33358,0,1
gray_q16_33489,fill16,1,33489,33489,33489,0,1
gray_q16_33621,fill16,1,33621,33621,33621,0,1
gray_q16_33752,fill16,1,33752,33752,33752,0,1
gray_q16_33883,fill16,1,33883,33883,33883,0,1
gray_q16_34015,fill16,1,34015,34015,34015,0,1
gray_q16_34146,fill16,1,34146,34146,34146,0,1
gray_q16_34277,fill16,1,34277,34277,34277,0,1
gray_q16_34409,fill16,1,34409,34409,34409,0,1
gray_q16_34540,fill16,1,34540,34540,34540,0,1
gray_q16_34671,fill16,1,34671,34671,34671,0,1
gray_q16_34803,fill16,1,34803,34803,34803,0,1
gray_q16_34934,fill16,1,34934,34934,34934,0,1
gray_q16_35065,fill16,1,35065,35065,35065,0,1
gray_q16_35197,fill16,1,35197,35197,35197,0,1
gray_q16_35328,fill16,1,35328,35328,35328,0,1
gray_q16_35459,fill16,1,35459,35459,35459,0,1
gray_q16_35591,fill16,1,35591,35591,35591,0,1
gray_q16_35722,fill16,1,35722,35722,35722,0,1
gray_q16_35853,fill16,1,35853,35853,35853,0,1
gray_q16_35985,fill16,1,35985,35985,35985,0,1
gray_q16_36116,fill16,1,36116,36116,36116,0,1
gray_q16_36247,fill16,1,36247,36247,36247,0,1
gray_q16_36379,fill16,1,36379,36379,36379,0,1
gray_q16_36510,fill16,1,36510,36510,36510,0,1
gray_q16_36641,fill16,1,36641,36641,36641,0,1
gray_q16_36773,fill16,1,36773,36773,36773,0,1
gray_q16_36904,fill16,1,36904,36904,36904,0,1
gray_q16_37035,fill16,1,37035,37035,37035,0,1
gray_q16_37167,fill16,1,37167,37167,37167,0,1
gray_q16_37298,fill16,1,37298,37298,37298,0,1
gray_q16_37429,fill16,1,37429,37429,37429,0,1
gray_q16_37561,fill16,1,37561,37561,37561,0,1
gray_q16_37692,fill16,1,37692,37692,37692,0,1
gray_q16_37823,fill16,1,37823,37823,37823,0,1
gray_q16_37955,fill16,1,37955,37955,37955,0,1
gray_q16_38086,fill16,1,38086,38086,38086,0,1
gray_q16_38217,fill16,1,38217,38217,38217,0,1
gray_q16_38349,fill16,1,38349,38349,38349,0,1
gray_q16_38480,fill16,1,38480,38480,38480,0,1
gray_q16_38611,fill16,1,38611,38611,38611,0,1
gray_q16_38743,fill16,1,38743,38743,38743,0,1
gray_q16_38874,fill16,1,38874,38874,38874,0,1
gray_q16_39005,fill16,1,39005,39005,39005,0,1
gray_q16_39137,fill16,1,39137,39137,39137,0,1
gray_q16_39268,fill16,1,39268,39268,39268,0,1
gray_q16_39399,fill16,1,39399,39399,39399,0,1
gray_q16_39531,fill16,1,39531,39531,39531,0,1
gray_q16_39662,fill16,1,39662,39662,39662,0,1
gray_q16_39793,fill16,1,39793,39793,39793,0,1
gray_q16_39925,fill16,1,39925,39925,39925,0,1
gray_q16_40056,fill16,1,40056,40056,40056,0,1
gray_q16_40187,fill16,1,40187,40187,40187,0,1
gray_q16_40319,fill16,1,40319,40319,40319,0,1
gray_q16_40450,fill16,1,40450,40450,40450,0,1
gray_q16_40581,fill16,1,40581,40581,40581,0,1
gray_q16_40713,fill16,1,40713,40713,40713,0,1
gray_q16_40844,fill16,1,40844,40844,40844,0,1
gray_q16_40975,fill16,1,40975,40975,40975,0,1
gray_q16_41107,fill16,1,41107,41107,41107,0,1
gray_q16_41238,fill16,1,41238,41238,41238,0,1
gray_q16_41369,fill16,1,41369,41369,41369,0,1
gray_q16_41501,fill16,1,41501,41501,41501,0,1
gray_q16_41632,fill16,1,41632,41632,41632,0,1
gray_q16_41763,fill16,1,41763,41763,41763,0,1
gray_q16_41895,fill16,1,41895,41895,41895,0,1
gray_q16_42026,fill16,1,42026,42026,42026,0,1
gray_q16_42157,fill16,1,42157,42157,42157,0,1
gray_q16_42289,fill16,1,42289,42289,42289,0,1
gray_q16_42420,fill16,1,42420,42420,42420,0,1
gray_q16_42551,fill16,1,42551,42551,42551,0,1
gray_q16_42683,fill16,1,42683,42683,42683,0,1
gray_q16_42814,fill16,1,42814,42814,42814,0,1
gray_q16_42945,fill16,1,42945,42945,42945,0,1
gray_q16_43077,fill16,1,43077,43077,43077,0,1
gray_q16_43208,fill16,1,43208,43208,43208,0,1
gray_q16_43339,fill16,1,43339,43339,43339,0,1
gray_q16_43471,fill16,1,43471,43471,43471,0,1
gray_q16_43602,fill16,1,43602,43602,43602,0,1
gray_q16_43733,fill16,1,43733,43733,43733,0,1
gray_q16_43865,fill16,1,43865,43865,43865,0,1
gray_q16_43996,fill16,1,43996,43996,43996,0,1
gray_q16_44127,fill16,1,44127,44127,44127,0,1
gray_q16_44259,fill16,1,44259,44259,44259,0,1
gray_q16_44390,fill16,1,44390,44390,44390,0,1
gray_q16_44521,fill16,1,44521,44521,44521,0,1
gray_q16_44653,fill16,1,44653,44653,44653,0,1
gray_q16_44784,fill16,1,44784,44784,44784,0,1
gray_q16_44915,fill16,1,44915,44915,44915,0,1
gray_q16_45047,fill16,1,45047,45047,45047,0,1
gray_q16_45178,fill16,1,45178,45178,45178,0,1
gray_q16_45309,fill16,1,45309,45309,45309,0,1
gray_q16_45441,fill16,1,45441,45441,45441,0,1
gray_q16_45572,fill16,1,45572,45572,45572,0,1
gray_q16_45703,fill16,1,45703,45703,45703,0,1
gray_q16_45835,fill16,1,45835,45835,45835,0,1
gray_q16_45966,fill16,1,45966,45966,45966,0,1
gray_q16_46097,fill16,1,46097,46097,46097,0,1
gray_q16_46229,fill16,1,46229,46229,46229,0,1
gray_q16_46360,fill16,1,46360,46360,46360,0,1
gray_q16_46491,fill16,1,46491,46491,46491,0,1
gray_q16_46623,fill16,1,46623,46623,46623,0,1
gray_q16_46754,fill16,1,46754,46754,46754,0,1
gray_q16_46885,fill16,1,46885,46885,46885,0,1
gray_q16_47017,fill16,1,47017,47017,47017,0,1
gray_q16_47148,fill16,1,47148,47148,47148,0,1
gray_q16_47279,fill16,1,47279,47279,47279,0,1
gray_q16_47411,fill16,1,47411,47411,47411,0,1
gray_q16_47542,fill16,1,47542,47542,47542,0,1
gray_q16_47673,fill16,1,47673,47673,47673,0,1
gray_q16_47805,fill16,1,47805,47805,47805,0,1
gray_q16_47936,fill16,1,47936,47936,47936,0,1
gray_q16_48067,fill16,1,48067,48067,48067,0,1
gray_q16_48199,fill16,1,48199,48199,48199,0,1
gray_q16_48330,fill16,1,48330,48330,48330,0,1
gray_q16_48461,fill16,1,48461,48461,48461,0,1
gray_q16_48593,fill16,1,48593,48593,48593,0,1
gray_q16_48724,fill16,1,48724,48724,48724,0,1
gray_q16_48855,fill16,1,48855,48855,48855,0,1
gray_q16_48987,fill16,1,48987,48987,48987,0,1
gray_q16_49118,fill16,1,49118,49118,49118,0,1
gray_q16_49249,fill16,1,49249,49249,49249,0,1
gray_q16_49381,fill16,1,49381,49381,49381,0,1
gray_q16_49512,fill16,1,49512,49512,49512,0,1
gray_q16_49643,fill16,1,49643,49643,49643,0,1
gray_q16_49775,fill16,1,49775,49775,49775,0,1
gray_q16_49906,fill16,1,49906,49906,49906,0,1
gray_q16_50037,fill16,1,50037,50037,50037,0,1
gray_q16_50169,fill16,1,50169,50169,50169,0,1
gray_q16_50300,fill16,1,50300,50300,50300,0,1
gray_q16_50431,fill16,1,50431,50431,50431,0,1
gray_q16_50563,fill16,1,50563,50563,50563,0,1
gray_q16_50694,fill16,1,50694,50694,50694,0,1
gray_q16_50825,fill16,1,50825,50825,50825,0,1
gray_q16_50957,fill16,1,50957,50957,50957,0,1
gray_q16_51088,fill16,1,51088,51088,51088,0,1
gray_q16_51219,fill16,1,51219,51219,51219,0,1
gray_q16_51351,fill16,1,51351,51351,51351,0,1
gray_q16_51482,fill16,1,51482,51482,51482,0,1
gray_q16_51613,fill16,1,51613,51613,51613,0,1
gray_q16_51745,fill16,1,51745,51745,51745,0,1
gray_q16_51876,fill16,1,51876,51876,51876,0,1
gray_q16_52007,fill16,1,52007,52007,52007,0,1
gray_q16_52139,fill16,1,52139,52139,52139,0,1
gray_q16_52270,fill16,1,52270,52270,52270,0,1
gray_q16_52401,fill16,1,52401,52401,52401,0,1
gray_q16_52533,fill16,1,52533,52533,52533,0,1
gray_q16_52664,fill16,1,52664,52664,52664,0,1
gray_q16_52795,fill16,1,52795,52795,52795,0,1
gray_q16_52927,fill16,1,52927,52927,52927,0,1
gray_q16_53058,fill16,1,53058,53058,53058,0,1
gray_q16_53189,fill16,1,53189,53189,53189,0,1
gray_q16_53321,fill16,1,53321,53321,53321,0,1
gray_q16_53452,fill16,1,53452,53452,53452,0,1
gray_q16_53583,fill16,1,53583,53583,53583,0,1
gray_q16_53715,fill16,1,53715,53715,53715,0,1
gray_q16_53846,fill16,1,53846,53846,53846,0,1
gray_q16_53977,fill16,1,53977,53977,53977,0,1
gray_q16_54109,fill16,1,54109,54109,54109,0,1
gray_q16_54240,fill16,1,54240,54240,54240,0,1
gray_q16_54371,fill16,1,54371,54371,54371,0,1
gray_q16_54503,fill16,1,54503,54503,54503,0,1
gray_q16_54634,fill16,1,54634,54634,54634,0,1
gray_q16_54765,fill16,1,54765,54765,54765,0,1
gray_q16_54897,fill16,1,54897,54897,54897,0,1
gray_q16_55028,fill16,1,55028,55028,55028,0,1
gray_q16_55159,fill16,1,55159,55159,55159,0,1
gray_q16_55291,fill16,1,55291,55291,55291,0,1
gray_q16_55422,fill16,1,55422,55422,55422,0,1
gray_q16_55553,fill16,1,55553,55553,55553,0,1
gray_q16_55685,fill16,1,55685,55685,55685,0,1
gray_q16_55816,fill16,1,55816,55816,55816,0,1
gray_q16_55947,fill16,1,55947,55947,55947,0,1
gray_q16_56079,fill16,1,56079,56079,56079,0,1
gray_q16_56210,fill16,1,56210,56210,56210,0,1
gray_q16_56341,fill16,1,56341,56341,56341,0,1
gray_q16_56473,fill16,1,56473,56473,56473,0,1
gray_q16_56604,fill16,1,56604,56604,56604,0,1
gray_q16_56735,fill16,1,56735,56735,56735,0,1
gray_q16_56867,fill16,1,56867,56867,56867,0,1
gray_q16_56998,fill16,1,56998,56998,56998,0,1
gray_q16_57129,fill16,1,57129,57129,57129,0,1
gray_q16_57261,fill16,1,57261,57261,57261,0,1
gray_q16_57392,fill16,1,57392,57392,57392,0,1
gray_q16_57523,fill16,1,57523,57523,57523,0,1
gray_q16_57655,fill16,1,57655,57655,57655,0,1
gray_q16_57786,fill16,1,57786,57786,57786,0,1
gray_q16_57917,fill16,1,57917,57917,57917,0,1
gray_q16_58049,fill16,1,58049,58049,58049,0,1
gray_q16_58180,fill16,1,58180,58180,58180,0,1
gray_q16_58311,fill16,1,58311,58311,58311,0,1
gray_q16_58443,fill16,1,58443,58443,58443,0,1
gray_q16_58574,fill16,1,58574,58574,58574,0,1
gray_q16_58705,fill16,1,58705,58705,58705,0,1
gray_q16_58837,fill16,1,58837,58837,58837,0,1
gray_q16_58968,fill16,1,58968,58968,58968,0,1
gray_q16_59099,fill16,1,59099,59099,59099,0,1
gray_q16_59231,fill16,1,59231,59231,59231,0,1
gray_q16_59362,fill16,1,59362,59362,59362,0,1
gray_q16_59493,fill16,1,59493,59493,59493,0,1
gray_q16_59625,fill16,1,59625,59625,59625,0,1
gray_q16_59756,fill16,1,59756,59756,59756,0,1
gray_q16_59887,fill16,1,59887,59887,59887,0,1
gray_q16_60019,fill16,1,60019,60019,60019,0,1
gray_q16_60150,fill16,1,60150,60150,60150,0,1
gray_q16_60281,fill16,1,60281,60281,60281,0,1
gray_q16_60413,fill16,1,60413,60413,60413,0,1
gray_q16_60544,fill16,1,60544,60544,60544,0,1
gray_q16_60675,fill16,1,60675,60675,60675,0,1
gray_q16_60807,fill16,1,60807,60807,60807,0,1
gray_q16_60938,fill16,1,60938,60938,60938,0,1
gray_q16_61069,fill16,1,61069,61069,61069,0,1
gray_q16_61201,fill16,1,61201,61201,61201,0,1
gray_q16_61332,fill16,1,61332,61332,61332,0,1
gray_q16_61463,fill16,1,61463,61463,61463,0,1
gray_q16_61595,fill16,1,61595,61595,61595,0,1
gray_q16_61726,fill16,1,61726,61726,61726,0,1
gray_q16_61857,fill16,1,61857,61857,61857,0,1
gray_q16_61989,fill16,1,61989,61989,61989,0,1
gray_q16_62120,fill16,1,62120,62120,62120,0,1
gray_q16_62251,fill16,1,62251,62251,62251,0,1
gray_q16_62383,fill16,1,62383,62383,62383,0,1
gray_q16_62514,fill16,1,62514,62514,62514,0,1
gray_q16_62645,fill16,1,62645,62645,62645,0,1
gray_q16_62777,fill16,1,62777,62777,62777,0,1
gray_q16_62908,fill16,1,62908,62908,62908,0,1
gray_q16_63039,fill16,1,63039,63039,63039,0,1
gray_q16_63171,fill16,1,63171,63171,63171,0,1
gray_q16_63302,fill16,1,63302,63302,63302,0,1
gray_q16_63433,fill16,1,63433,63433,63433,0,1
gray_q16_63565,fill16,1,63565,63565,63565,0,1
gray_q16_63696,fill16,1,63696,63696,63696,0,1
gray_q16_63827,fill16,1,63827,63827,63827,0,1
gray_q16_63959,fill16,1,63959,63959,63959,0,1
gray_q16_64090,fill16,1,64090,64090,64090,0,1
gray_q16_64221,fill16,1,64221,64221,64221,0,1
gray_q16_64353,fill16,1,64353,64353,64353,0,1
gray_q16_64484,fill16,1,64484,64484,64484,0,1
gray_q16_64615,fill16,1,64615,64615,64615,0,1
gray_q16_64747,fill16,1,64747,64747,64747,0,1
gray_q16_64878,fill16,1,64878,64878,64878,0,1
gray_q16_65009,fill16,1,65009,65009,65009,0,1
