name,mode,use_fill16,r16,g16,b16,w16
sparse_cyanteal_r0.00g1.00b0.60_12288_w8,fill16,1,0,12288,7372,983
sparse_cyanteal_r0.00g1.00b0.60_12288_w18,fill16,1,0,12288,7372,2211
sparse_cyanteal_r0.00g1.00b0.60_12288_w30,fill16,1,0,12288,7372,3686
sparse_cyanteal_r0.00g1.00b0.60_12288_w45,fill16,1,0,12288,7372,5529
sparse_cyanteal_r0.00g1.00b0.60_12288_w60,fill16,1,0,12288,7372,7372
sparse_cyanteal_r0.05g0.60b1.00_12288_w0,fill16,1,614,7372,12288,0
sparse_cyanteal_r0.05g0.60b1.00_12288_w8,fill16,1,614,7372,12288,983
sparse_cyanteal_r0.05g0.60b1.00_12288_w18,fill16,1,614,7372,12288,2211
sparse_cyanteal_r0.05g0.60b1.00_12288_w30,fill16,1,614,7372,12288,3686
sparse_cyanteal_r0.05g0.60b1.00_12288_w45,fill16,1,614,7372,12288,5529
sparse_cyanteal_r0.05g0.60b1.00_12288_w60,fill16,1,614,7372,12288,7372
sparse_cyanteal_r0.05g0.80b1.00_12288_w0,fill16,1,614,9830,12288,0
sparse_cyanteal_r0.05g0.80b1.00_12288_w8,fill16,1,614,9830,12288,983
sparse_cyanteal_r0.05g0.80b1.00_12288_w18,fill16,1,614,9830,12288,2211
sparse_cyanteal_r0.05g0.80b1.00_12288_w30,fill16,1,614,9830,12288,3686
sparse_cyanteal_r0.05g0.80b1.00_12288_w45,fill16,1,614,9830,12288,5529
sparse_cyanteal_r0.05g0.80b1.00_12288_w60,fill16,1,614,9830,12288,7372
sparse_cyanteal_r0.08g1.00b0.70_12288_w0,fill16,1,983,12288,8601,0
sparse_cyanteal_r0.08g1.00b0.70_12288_w8,fill16,1,983,12288,8601,983
sparse_cyanteal_r0.08g1.00b0.70_12288_w18,fill16,1,983,12288,8601,2211
sparse_cyanteal_r0.08g1.00b0.70_12288_w30,fill16,1,983,12288,8601,3686
sparse_cyanteal_r0.08g1.00b0.70_12288_w45,fill16,1,983,12288,8601,5529
sparse_cyanteal_r0.08g1.00b0.70_12288_w60,fill16,1,983,12288,8601,7372
sparse_cyanteal_r0.00g0.50b0.80_12288_w0,fill16,1,0,6144,9830,0
sparse_cyanteal_r0.00g0.50b0.80_12288_w8,fill16,1,0,6144,9830,983
sparse_cyanteal_r0.00g0.50b0.80_12288_w18,fill16,1,0,6144,9830,2211
sparse_cyanteal_r0.00g0.50b0.80_12288_w30,fill16,1,0,6144,9830,3686
sparse_cyanteal_r0.00g0.50b0.80_12288_w45,fill16,1,0,6144,9830,5529
sparse_cyanteal_r0.00g0.50b0.80_12288_w60,fill16,1,0,6144,9830,7372
sparse_cyanteal_r0.00g0.65b0.85_12288_w0,fill16,1,0,7987,10444,0
sparse_cyanteal_r0.00g0.65b0.85_12288_w8,fill16,1,0,7987,10444,983
sparse_cyanteal_r0.00g0.65b0.85_12288_w18,fill16,1,0,7987,10444,2211
