name,mode,use_fill16,r,g,b,w,lower_r,lower_g,lower_b,lower_w,upper_r,upper_g,upper_b,upper_w,r16,g16,b16,w16,bfi_r,bfi_g,bfi_b,bfi_w,repeat_index,solver_mode,ok,returncode,elapsed_s,timed_out,X,Y,Z,x,y
W_floor151_v184_bfi3,blend8,0,0,0,0,184,0,0,0,151,0,0,0,184,0,0,0,47288,0,0,0,3,0,0,True,0,0.0,False,926.6908161245817,1006.0331719129186,878.0784095357719,0.329689065629319,0.35791671900574906
W_floor151_v185_bfi3,blend8,0,0,0,0,185,0,0,0,151,0,0,0,185,0,0,0,47545,0,0,0,3,0,0,True,0,0.0,False,928.9650582143664,1008.4525356782297,880.3322609037489,0.32968329556759324,0.35789285339209653
W_floor151_v186_bfi3,blend8,0,0,0,0,186,0,0,0,151,0,0,0,186,0,0,0,47802,0,0,0,3,0,0,True,0,0.0,False,930.4718070031058,1010.0670415695574,881.76404023127,0.32968531148597996,0.35788754126160244
W_floor151_v187_bfi3,blend8,0,0,0,0,187,0,0,0,151,0,0,0,187,0,0,0,48059,0,0,0,3,0,0,True,0,0.0,False,932.3132878320782,1012.0499251673893,883.5580757402522,0.3296814842564339,0.35787768535043474
W_floor151_v188_bfi3,blend8,0,0,0,0,188,0,0,0,151,0,0,0,188,0,0,0,48316,0,0,0,3,0,0,True,0,0.0,False,934.0039952110224,1013.9192152521415,885.3008124892741,0.3296611872709304,0.35786764725916714
W_floor151_v189_bfi3,blend8,0,0,0,0,189,0,0,0,151,0,0,0,189,0,0,0,48573,0,0,0,3,0,0,True,0,0.0,False,934.9824533999438,1014.9940246130354,886.2306787497971,0.329659436607277,0.35787020076895276
W_floor151_v190_bfi3,blend8,0,0,0,0,190,0,0,0,151,0,0,0,190,0,0,0,48830,0,0,0,3,0,0,True,0,0.0,False,936.8742655680128,1017.0368064699255,889.2547768874493,0.329517979375743,0.3577127964076834
W_floor151_v191_bfi3,blend8,0,0,0,0,191,0,0,0,151,0,0,0,191,0,0,0,49087,0,0,0,3,0,0,True,0,0.0,False,942.9261463473581,1023.6108953194828,894.1290731714437,0.3296176864040152,0.3578225679711483
W_floor151_v192_bfi3,blend8,0,0,0,0,192,0,0,0,151,0,0,0,192,0,0,0,49344,0,0,0,3,0,0,True,0,0.0,False,946.4337963000204,1027.3955602996166,897.3416368295527,0.32963337901712536,0.3578315477033099
W_floor151_v193_bfi3,blend8,0,0,0,0,193,0,0,0,151,0,0,0,193,0,0,0,49601,0,0,0,3,0,0,True,0,0.0,False,948.7755614476971,1029.899159855327,899.4904883212711,0.3296459696875937,0.3578318424569402
W_floor151_v194_bfi3,blend8,0,0,0,0,194,0,0,0,151,0,0,0,194,0,0,0,49858,0,0,0,3,0,0,True,0,0.0,False,951.0764644634841,1032.3948527159569,901.7058465435191,0.32964230981096454,0.3578271953961331
W_floor151_v195_bfi3,blend8,0,0,0,0,195,0,0,0,151,0,0,0,195,0,0,0,50115,0,0,0,3,0,0,True,0,0.0,False,953.0933645424307,1034.5320223311141,903.620231224081,0.3296480100398888,0.35781533601140836
W_floor151_v196_bfi3,blend8,0,0,0,0,196,0,0,0,151,0,0,0,196,0,0,0,50372,0,0,0,3,0,0,True,0,0.0,False,955.4961009346569,1037.145648005055,905.9652935714197,0.32963975003210094,0.35780829646592976
W_floor151_v197_bfi3,blend8,0,0,0,0,197,0,0,0,151,0,0,0,197,0,0,0,50629,0,0,0,3,0,0,True,0,0.0,False,957.9944262904068,1039.8489644849647,908.3688046029565,0.3296367786956093,0.35780214746143063
W_floor151_v198_bfi3,blend8,0,0,0,0,198,0,0,0,151,0,0,0,198,0,0,0,50886,0,0,0,3,0,0,True,0,0.0,False,959.9129993371594,1041.9089457895418,910.2812249330551,0.3296287745593374,0.3577857256232312
W_floor151_v199_bfi3,blend8,0,0,0,0,199,0,0,0,151,0,0,0,199,0,0,0,51143,0,0,0,3,0,0,True,0,0.0,False,961.9654422988476,1044.0582210156863,912.4626216155796,0.32961108889428375,0.3577396359224924
W_floor151_v200_bfi3,blend8,0,0,0,0,200,0,0,0,151,0,0,0,200,0,0,0,51400,0,0,0,3,0,0,True,0,0.0,False,964.6192327463384,1046.983565387768,914.8523716990064,0.3296203689330214,0.3577651132948927
W_floor151_v201_bfi3,blend8,0,0,0,0,201,0,0,0,151,0,0,0,201,0,0,0,51657,0,0,0,3,0,0,True,0,0.0,False,967.388277131405,1050.0163008288068,917.5978186665616,0.32960391386502225,0.35775653949570896
W_floor151_v202_bfi3,blend8,0,0,0,0,202,0,0,0,151,0,0,0,202,0,0,0,51914,0,0,0,3,0,0,True,0,0.0,False,968.4854353943167,1051.1603808393766,918.6088542149147,0.3296124890516893,0.3577499225684502
W_floor151_v203_bfi3,blend8,0,0,0,0,203,0,0,0,151,0,0,0,203,0,0,0,52171,0,0,0,3,0,0,True,0,0.0,False,970.3431391850446,1053.172911792019,920.368000677003,0.32961323277655663,0.3577494538890815
W_floor151_v204_bfi3,blend8,0,0,0,0,204,0,0,0,151,0,0,0,204,0,0,0,52428,0,0,0,3,0,0,True,0,0.0,False,972.6207512766263,1055.6499094437863,922.6324605733437,0.3296010445948503,0.35773790804116967
W_floor151_v205_bfi3,blend8,0,0,0,0,205,0,0,0,151,0,0,0,205,0,0,0,52685,0,0,0,3,0,0,True,0,0.0,False,974.9058590673792,1058.1297973787423,924.857534555347,0.3295946797650596,0.35773090137189373
W_floor151_v206_bfi3,blend8,0,0,0,0,206,0,0,0,151,0,0,0,206,0,0,0,52942,0,0,0,3,0,0,True,0,0.0,False,977.7139893438642,1061.1292129357178,927.6296262426297,0.3295880481167008,0.35770737649545015
W_floor151_v207_bfi3,blend8,0,0,0,0,207,0,0,0,151,0,0,0,207,0,0,0,53199,0,0,0,3,0,0,True,0,0.0,False,979.3479284065642,1062.920523114691,929.1525908735032,0.3295890802527528,0.35771454396716906
W_floor151_v208_bfi3,blend8,0,0,0,0,208,0,0,0,151,0,0,0,208,0,0,0,53456,0,0,0,3,0,0,True,0,0.0,False,981.1724123778155,1064.8478299204921,931.2053421311368,0.32955931102743347,0.3576644764473095
W_floor151_v209_bfi3,blend8,0,0,0,0,209,0,0,0,151,0,0,0,209,0,0,0,53713,0,0,0,3,0,0,True,0,0.0,False,983.3330715133675,1067.2405077154185,933.1835103377227,0.3295620394005431,0.3576834426124384
W_floor151_v210_bfi3,blend8,0,0,0,0,210,0,0,0,151,0,0,0,210,0,0,0,53970,0,0,0,3,0,0,True,0,0.0,False,985.6868760503855,1069.8395446235286,935.407587745822,0.32955821602067864,0.35769413220480245
W_floor151_v211_bfi3,blend8,0,0,0,0,211,0,0,0,151,0,0,0,211,0,0,0,54227,0,0,0,3,0,0,True,0,0.0,False,987.8859239912606,1072.1992518192383,937.4922821885506,0.3295614334685772,0.35768858914990487
W_floor151_v212_bfi3,blend8,0,0,0,0,212,0,0,0,151,0,0,0,212,0,0,0,54484,0,0,0,3,0,0,True,0,0.0,False,989.5627823876212,1073.973678301617,939.1451628898841,0.32955967579675893,0.35767151264657454
W_floor151_v213_bfi3,blend8,0,0,0,0,213,0,0,0,151,0,0,0,213,0,0,0,54741,0,0,0,3,0,0,True,0,0.0,False,991.5019591797684,1076.0746859279432,941.0412752614768,0.3295539631227421,0.3576641216694933
